SerialId,PollingStation,UC,CensusBlock,VotersSerial,MaleVoters,FemaleVoters,TotalVoters,MaleBooths,FemaleBooths,TotalBooths
,,MIRGI KHEL,031030363,-,,0,0,,,
,,TAKIA KILLI,031030364,-,,150,150,,,
,,NEHER GHARA,031030365,-,,111,111,,,
,,SAIDAN KILLI,031030366,-,,0,0,,,
44,GMS* HISARA (MALE),DONGA SHAHWALI,031030317,-,308,,308,3,,3
,,MUHAMMAD AKBAR KILLI,031030318,-,290,,290,,,
,,ARJALI NADAI,031030319,-,344,,344,,,
,,AZRAM KILLI,031030320,-,270,,270,,,
,,MALIK WARIS KHAN KILLI,031030321,-,296,,296,,,
,,DHALOBAR KILLI,031030307,-,557,,557,,,
45,GPS* SOOR KAS NO.3 (MALE),YAR MUHAMMAD KILLI,031030322,-,320,,320,3,,3
,,MERI KILLI,031030323,-,300,,300,,,
,,KHAN MUHAMMAD KILLI,031030324,-,269,,269,,,
,,GARI KILLI,031030325,-,252,,252,,,
,,PARI ATTARI,031030326,-,234,,234,,,
46,GGPS* MALIK WARIS KHAN KILLI (FEMALE),DONGA SHAHWALI,031030317,-,,83,83,,1,1
,,MUHAMMAD AKBAR KILLI,031030318,-,,56,56,,,
,,ARJALI NADAI,031030319,-,,0,0,,,
,,AZRAM KILLI,031030320,-,,159,159,,,
,,MALIK WARIS KHAN KILLI,031030321,-,,68,68,,,
,,YAR MUHAMMAD KILLI,031030322,-,,0,0,,,
,,MERI KILLI,031030323,-,,21,21,,,
,,KHAN MUHAMMAD KILLI,031030324,-,,59,59,,,
,,GARAI KILLI,031030325,-,,3,3,,,
,,SHALOBAR KILLI,031030307,-,,0,0,,,
,,BADI ATTARI,031030326,-,,79,79,,,
47,GPS* MANDI KASS (MALE),SLIK ABAD,031030327,-,510,,510,3,,3
,,NALA PACKET,031030328,-,199,,199,,,
,,MANDAI KAS,031030329,-,267,,267,,,
,,SANDAI KILLI,031030330,-,210,,210,,,
,,ZAIRAT GARAHI,031030331,-,145,,145,,,
,,MALANG GHARI,031030332,-,61,,61,,,
,,PEOPLE GHARI,031030333,-,145,,145,,,
48,GHS* ALLAM GUDAR (MALE),AYUB KILLI,031030334,-,285,,285,2,,2
,,MALIK GHARI,031030335,-,86,,86,,,
,,MALIK GHARI KARKHANAJAT,031030336,-,79,,79,,,
,,ZULFIQAR GHARI,031030337,-,86,,86,,,
,,KARIGAR GHARI,031030338,-,519,,519,,,
,,ANWAR ABAD,031030339,-,327,,327,,,
49,GGMS* MALANG GARHI (FEMALE),SILK ABAD,031030327,-,,205,205,,1,1
,,NALA PACKET,031030328,-,,0,0,,,
,,MANDAI KAS,031030329,-,,31,31,,,
,,SANDAI KILLI,031030330,-,,0,0,,,
,,ZAIRAT GARAHI,031030331,-,,66,66,,,
,,MALANG GHARI,031030332,-,,20,20,,,
,,PEOPLE GHARI,031030333,-,,59,59,,,
,,AYUB KILLI,031030334,-,,108,108,,,
,,MALIK GHARI,031030335,-,,23,23,,,
,,MALIK GHARI KARKHANAJAT,031030336,-,,16,16,,,
,,ZULFIQAR ,031030337,-,,41,41,,,
,,KARIGAR GHARI,031030338,-,,117,117,,,
,,ANWAR ABAD,031030339,-,,0,0,,,
50,GHS SHALOBAR QAMBAR KHEL (MALE),REHMAN KILLI,031030340,-,167,,167,2,,2
,,NABI ABAD,031030341,-,118,,118,,,
,,JAMAL BAZ KILLI,031030342,-,335,,335,,,
,,SOHBAT DHAND,031030343,-,333,,333,,,
,,NAZRAT SHAH KILLI,031030344,-,262,,262,,,
51,GPS* SHALOBAR NO. 1 (MALE),RAHIM GUL,031030346,-,206,,206,2,,2
,,MOTABAR KILLI,031030347,-,408,,408,,,
,,MOHAMMAD KILLI,031030348,-,203,,203,,,
52,GPS* SHALOBAR NO. 3 (MALE),QAMBAR ABAD,031030345,-,311,,311,2,,2
,,ABAD AKBAR KILLI,031030349,-,218,,218,,,
,,QAMBAR ABAD MARKET,031030350,-,303,,303,,,
,,JUSHI SANAB GUL KILLI,031030351,-,258,,258,,,
,,QAMBAR ABAD BAZAR,031030355,-,265,,265,,,
53,GPS* HUSSAIN GUL KILLI (MALE),PURDIL KILLI,031030352,-,464,,464,2,,2
,,SHAKAS AREA,031030353,-,280,,280,,,
,,KHUSHKI MALBL,031030354,-,389,,389,,,
54,GGPS* NOGAZAI BABA (FEMALE),REHMAN KILLI,031030340,-,,0,0,,1,1
,,NABI ABAD,031030341,-,,0,0,,,
,,JAMAL BAZ KILLI,031030342,-,,123,123,,,
,,SOHBAT DHAND,031030343,-,,160,160,,,
,,HAZRAT SHAH KILLI,031030344,-,,40,40,,,
,,QAMBAR ABAD,031030345,-,,39,39,,,
,,RAHIM GUL,031030346,-,,66,66,,,
,,MOTABAR KILLI,031030347,-,,135,135,,,
,,MOHAMMAD KILLI,031030348,-,,115,115,,,
,,ABAD AKBAR ,031030349,-,,68,68,,,
,,QAMBAR ABAD MARDET,031030350,-,,98,98,,,
,,JUSHI SANAB GUL KILLI,031030351,-,,46,46,,,
,,PURDIL KILLI,031030352,-,,1,1,,,
,,SHAKAS AREA,031030353,-,,105,105,,,
,,KHUSHKI MALBI,031030354,-,,41,41,,,
,,QAMBAR ABAD BAZAR,031030355,-,,69,69,,,
55,GMS* TOOTH DHAND (MALE),NEHER TUNDEL,031030356,-,432,,432,3,3,
,,TOOKTKAI DHAND,031030357,-,504,,504,,,
,,WALI ABAD,031030358,-,511,,511,,,
56,GPS* SAM BABA (MALE),SUM BABA,031030359,-,701,,701,2,2,
,,HISARA KUWAR,031030360,-,379,,379,,,
,,CHIRLANGE,031030361,-,190,,190,,,
57,GHS* JAN KHAN KILLIA (MALE),JAN KHAN KILLI,031030362,-,499,,499,2,2,
,,MIRGI KHEL,031030363,-,293,,293,,,
58,GPS* SHERA KHAN KILLI (MALE),TAKIA KILLI,031030364,-,542,,542,3,3,
,,NEHER GHARA,031030365,-,380,,380,,,
,,SAIDAN KILLI,031030366,-,560,,560,,,
59,IMPROVISED MAI DARA MDK,TAND,031030402,-,383,,383,1,1,
60,GMS* SARA WALA KHAISTA GUL KILLI (MALE),RAJGAI,031030401,-,555,9,564,3,3,
,,RAJGLE,031030501,-,377,0,377,,,
,,NOORBANO KILLI,031030502,-,255,14,269,,,
,,MEHRABAN KILLI,031030503,-,413,,413,,,
61,CHS* CHALGAZAL (MALE),MERO DARA,031030405,-,159,0,159,2,2,
,,SAVAI KOT,031030406,-,610,0,610,,,
,,OCH POL,031031105,-,370,0,370,,,
62,GMS* SHIN KAMAR (MALE),SHIN KAMAR,031030407,-,754,2,756,2,2,
,,GHABI NEKAI,031031104,-,229,0,229,,,
63,GPS* ZANGAI MALE,TOOR TOTH,031030504,-,884,0,884,3,3,
,,KHAWAJA KHEL,031030505,-,793,0,793,,,
64,GPS* HASHIM KILLI (MALE),LAIY KASS,031030602,-,743,0,743,3,,3
,,SAMAND KHAN KILLI,031030603,-,406,0,406,,,
,,NIRHAO,031030604,-,266,0,266,,,
,,MIRZABIKHEL,031030605,-,251,19,270,,,
65,BAGH IMPROVISE MALE,SHAMSHER KHAN,031030702,-,269,0,269,2,,2
,,UMER KHAN KHEL,031030703,-,392,0,392,,,
,,KARNA KHEL,031030704,-,407,0,407,,,
,,BAR KUAL KHEL,031030701,-,208,0,208,,,
,,OCHA PAIL,031030801,-,274,0,274,,,
66,KALANA IMPROVISE ,KALANA,031030802,-,1071,150,1221,2,1,3
67,UMER KHEL IMPROVISED (MALE),ALAM KHEL,031030803,-,416,0,416,3,,3
,,UMAR KHEL,031030705,-,1052,0,1052,,,
